(-2.169,1.785)
(-2.134,1.635)
(-2.069,1.463)
(-1.976,1.269)
(-1.976,0.961)
(-1.861,0.668)
(-1.554,0.290)
(-1.374,-0.089)
(-1.158,-0.324)
(-0.923,-0.486)
(-0.888,-0.828)
(-1.248,-0.972)
(-1.681,-1.296)
(-2.185,-1.603)
(-2.726,-1.783)
(-3.177,-1.982)
(-3.645,-2.180)
(-4.131,-2.432)
(-4.636,-2.775)
(-5.123,-3.081)
(-5.610,-3.279)
(-6.150,-3.315)
(-6.691,-3.153)
(-6.492,-3.478)
(-5.952,-3.730)
(-5.321,-3.730)
(-4.654,-3.424)
(-4.077,-3.153)
(-3.483,-2.937)
(-2.654,-2.847)
(-1.951,-2.829)
(-0.437,-2.793)
(0.248,-3.027)
(1.077,-3.189)
(1.924,-3.297)
(2.717,-3.424)
(3.258,-3.424)
(3.744,-3.243)
(4.303,-3.117)
(4.808,-3.460)
(5.240,-3.748)
(5.691,-3.712)
(5.961,-3.495)
(6.285,-3.387)
(6.412,-3.081)
(6.808,-2.829)
(7.223,-2.613)
(7.403,-2.396)
(7.331,-2.054)
(7.205,-1.639)
(6.985,-1.698)
(6.841,-1.602)
(6.638,-1.482)
(6.662,-1.686)
(6.614,-1.865)
(6.521,-1.743)
(6.414,-1.621)
(6.407,-1.843)
(6.299,-1.750)
(6.256,-1.851)
(6.162,-1.803)
(6.140,-1.918)
(5.901,-1.918)
(5.843,-1.760)
(5.797,-1.625)
(5.923,-1.379)
(6.030,-1.292)
(6.137,-1.298)
(6.079,-1.218)
(6.211,-1.213)
(6.171,-1.101)
(6.094,-1.019)
(6.226,-1.025)
(6.364,-1.025)
(6.276,-0.880)
(6.450,-0.923)
(6.390,-0.784)
(6.359,-0.587)
(6.225,-0.484)
(6.049,-0.370)
(5.812,-0.370)
(5.419,-0.567)
(5.233,-0.815)
(5.038,-1.218)
(4.763,-1.482)
(4.565,-1.493)
(4.367,-1.372)
(4.160,-1.328)
(4.112,-1.037)
(4.099,-0.856)
(4.269,-0.626)
(4.487,-0.336)
(4.471,-0.021)
(4.397,0.300)
(4.118,0.354)
(4.200,0.263)
(4.111,0.150)
(4.236,0.061)
(4.086,0.038)
(4.253,-0.061)
(4.187,-0.285)
(3.897,-0.488)
(3.722,-0.706)
(3.692,-0.973)
(3.475,-0.953)
(3.060,-0.859)
(3.278,-0.652)
(3.516,-0.538)
(3.817,-0.341)
(3.910,-0.144)
(3.832,-0.027)
(3.785,-0.158)
(3.643,-0.234)
(3.653,-0.092)
(3.643,0.115)
(3.540,-0.027)
(3.417,-0.121)
(3.323,0.030)
(3.201,0.068)
(3.238,-0.290)
(3.088,-0.460)
(2.937,-0.526)
(2.899,-0.177)
(2.758,0.181)
(2.654,0.426)
(2.504,0.680)
(2.343,0.897)
(2.268,1.170)
(2.202,1.424)
(2.230,1.641)
(2.409,1.839)
(2.654,1.980)
(2.843,2.074)
(2.956,2.187)
(3.191,2.216)
(3.389,2.263)
(3.521,2.413)
(3.653,2.545)
(3.615,2.781)
(3.455,2.687)
(3.220,2.762)
(3.012,2.790)
(2.862,2.639)
(2.843,2.847)
(2.777,3.016)
(2.673,2.866)
(2.400,2.913)
(2.259,2.781)
(2.051,2.621)
(1.967,2.423)
(1.816,2.442)
(1.750,2.621)
(1.665,2.555)
(1.693,2.291)
(1.703,2.102)
(1.420,1.801)
(1.383,1.528)
(1.514,1.245)
(1.599,0.718)
(1.609,0.228)
(1.769,-0.111)
(1.543,-0.290)
(1.298,-0.441)
(0.883,-0.422)
(0.620,-0.450)
(0.393,-0.535)
(0.248,-0.247)
(0.077,0.106)
(-0.173,0.368)
(-0.527,0.596)
(-0.835,0.767)
(-1.199,0.950)
(-1.154,1.212)
(-1.222,1.474)
(-0.994,1.713)
(-0.823,1.998)
(-0.627,2.050)
(-0.549,2.151)
(-0.398,2.223)
(-0.341,2.359)
(-0.355,2.502)
(-0.455,2.395)
(-0.592,2.409)
(-0.757,2.488)
(-0.907,2.474)
(-0.871,2.631)
(-0.914,2.782)
(-1.043,2.624)
(-1.244,2.638)
(-1.388,2.560)
(-1.488,2.380)
(-1.596,2.251)
(-1.782,2.287)
(-1.818,2.452)
(-1.868,2.624)
(-1.997,2.660)
(-2.083,2.739)
(-2.176,2.667)
(-2.227,2.552)
(-2.241,2.395)
(-2.183,2.208)
(-2.140,2.079)
(-2.183,1.936)
